,x,y,m
283,-160.0,33.0,1172468.0
284,-160.0,34.0,1717683.0
285,-160.0,35.0,4480933.0
286,-160.0,36.0,3443608.0
287,-160.0,37.0,2737570.0
288,-160.0,39.0,2691039.0
289,-160.0,40.0,2961549.0
290,-160.0,41.0,1299536.0
291,-159.0,-44.0,3128327.0
292,-159.0,-43.0,1089908.0
293,-159.0,-41.0,1073324.0
294,-159.0,-40.0,2419166.0
295,-159.0,-39.0,3041793.0
296,-159.0,-37.0,1447728.0
297,-159.0,-36.0,4048775.0
298,-159.0,-35.0,1118915.0
299,-159.0,-33.0,2691609.0
300,-159.0,-32.0,1275926.0
301,-159.0,-31.0,4205936.0
302,-159.0,-30.0,3291376.0
303,-159.0,-29.0,4255954.0
304,-159.0,-28.0,9620037.0
305,-159.0,-27.0,4162961.0
306,-159.0,-26.0,8404892.0
307,-159.0,-25.0,8065866.0
308,-159.0,-24.0,2419605.0
309,-159.0,-23.0,4002115.0
310,-159.0,-22.0,3768595.0
311,-159.0,-21.0,1509441.0
312,-159.0,-20.0,6514790.0
313,-159.0,-19.0,1286655.0
314,-159.0,-18.0,4742771.0
315,-159.0,-17.0,5565896.0
316,-159.0,-16.0,2781880.0
317,-159.0,-15.0,9958067.0
318,-159.0,-14.0,3909707.0
319,-159.0,-13.0,6743925.0
320,-159.0,-12.0,4438523.0
321,-159.0,-11.0,3600116.0
322,-159.0,-10.0,5868147.0
323,-159.0,-9.0,4511966.0
324,-159.0,-8.0,5685433.0
325,-159.0,-7.0,4277650.0
326,-159.0,-6.0,2929542.0
327,-159.0,-5.0,7795969.0
328,-159.0,-4.0,8021542.0
329,-159.0,-3.0,3964638.0
330,-159.0,-2.0,6483120.0
331,-159.0,-1.0,6562199.0
332,-159.0,0.0,4967977.0
333,-159.0,1.0,2650430.0
334,-159.0,2.0,1603004.0
335,-159.0,3.0,5856178.0
336,-159.0,4.0,1374561.0
337,-159.0,5.0,7647915.0
338,-159.0,6.0,4021435.0
339,-159.0,7.0,6670154.0
340,-159.0,8.0,2679257.0
341,-159.0,9.0,7956482.0
342,-159.0,10.0,3794193.0
343,-159.0,11.0,6037883.0
344,-159.0,12.0,5034368.0
345,-159.0,13.0,7973647.0
346,-159.0,14.0,11260764.0
347,-159.0,15.0,2603527.0
348,-159.0,16.0,4173059.0
349,-159.0,17.0,6974010.0
350,-159.0,18.0,8596544.0
351,-159.0,19.0,2692666.0
352,-159.0,20.0,5831546.0
353,-159.0,21.0,1129848.0
354,-159.0,22.0,4559098.0
355,-159.0,23.0,4625503.0
356,-159.0,24.0,9121590.0
357,-159.0,25.0,929600.0
358,-159.0,26.0,4874952.0
359,-159.0,27.0,3968383.0
360,-159.0,28.0,1380689.0
361,-159.0,29.0,4792696.0
362,-159.0,30.0,5252041.0
363,-159.0,31.0,2787327.0
364,-159.0,32.0,2919773.0
365,-159.0,33.0,5660085.0
366,-159.0,34.0,2529560.0
367,-159.0,36.0,3092532.0
368,-159.0,37.0,1518463.0
369,-159.0,38.0,2989438.0
370,-159.0,39.0,1277668.0
371,-159.0,40.0,1869681.0
372,-159.0,41.0,1105528.0
373,-159.0,42.0,1325629.0
374,-159.0,44.0,1324265.0
375,-159.0,45.0,1420950.0
376,-159.0,46.0,1454086.0
377,-158.0,-48.0,1099047.0
378,-158.0,-47.0,2353071.0
379,-158.0,-46.0,1545840.0
380,-158.0,-43.0,1611738.0
381,-158.0,-42.0,1320970.0
382,-158.0,-41.0,3284143.0
383,-158.0,-39.0,3426174.0
384,-158.0,-38.0,6998977.0
385,-158.0,-37.0,2088976.0
386,-158.0,-36.0,7817659.0
387,-158.0,-35.0,4562021.0
388,-158.0,-34.0,7486792.0
389,-158.0,-33.0,3961650.0
390,-158.0,-32.0,5608771.0
391,-158.0,-31.0,4332177.0
392,-158.0,-30.0,4377449.0
393,-158.0,-29.0,1538725.0
394,-158.0,-28.0,1573462.0
395,-158.0,-27.0,2886073.0
396,-158.0,-26.0,3549358.0
397,-158.0,-25.0,1562480.0
398,-158.0,-24.0,4114924.0
399,-158.0,-23.0,4083593.0
400,-158.0,-22.0,7401225.0
401,-158.0,-21.0,1318110.0
402,-158.0,-20.0,8434229.0
403,-158.0,-19.0,6126698.0
404,-158.0,-18.0,6630593.0
405,-158.0,-17.0,5105156.0
406,-158.0,-16.0,2512050.0
407,-158.0,-15.0,5416725.0
408,-158.0,-14.0,4541634.0
409,-158.0,-13.0,1116979.0
410,-158.0,-12.0,2334302.0
411,-158.0,-11.0,4306759.0
412,-158.0,-10.0,7082396.0
413,-158.0,-9.0,2978488.0
414,-158.0,-8.0,5561959.0
415,-158.0,-7.0,4016817.0
416,-158.0,-6.0,5466224.0
417,-158.0,-5.0,870607.0
418,-158.0,-4.0,3615183.0
419,-158.0,-3.0,9698464.0
420,-158.0,-2.0,4097299.0
421,-158.0,-1.0,3243309.0
422,-158.0,0.0,5291954.0
423,-158.0,1.0,8968828.0
424,-158.0,2.0,6932640.0
425,-158.0,3.0,4156747.0
426,-158.0,4.0,6805653.0
427,-158.0,5.0,4831460.0
428,-158.0,6.0,3053119.0
429,-158.0,7.0,4324335.0
430,-158.0,8.0,10684745.0
431,-158.0,9.0,2686623.0
432,-158.0,10.0,3979913.0
433,-158.0,11.0,1317057.0
434,-158.0,12.0,2957951.0
435,-158.0,13.0,2616873.0
436,-158.0,14.0,3997058.0
437,-158.0,15.0,4252989.0
438,-158.0,16.0,3543865.0
439,-158.0,17.0,6711011.0
440,-158.0,18.0,4141462.0
441,-158.0,19.0,1635091.0
442,-158.0,20.0,7446865.0
443,-158.0,21.0,6178858.0
444,-158.0,22.0,6151180.0
445,-158.0,23.0,2540211.0
446,-158.0,24.0,5699624.0
447,-158.0,25.0,4538087.0
448,-158.0,26.0,8234488.0
449,-158.0,27.0,4026355.0
450,-158.0,28.0,2522585.0
451,-158.0,29.0,4291031.0
452,-158.0,30.0,4654485.0
453,-158.0,31.0,4265634.0
454,-158.0,32.0,5310302.0
455,-158.0,33.0,1260092.0
456,-158.0,34.0,2876446.0
457,-158.0,35.0,2416168.0
458,-158.0,36.0,6701256.0
459,-158.0,37.0,7494711.0
460,-158.0,38.0,7146749.0
461,-158.0,39.0,2763588.0
462,-158.0,40.0,3373582.0
463,-158.0,41.0,1588983.0
464,-158.0,42.0,6931389.0
465,-158.0,43.0,3795172.0
466,-158.0,46.0,2670150.0
467,-158.0,48.0,1310098.0
468,-158.0,49.0,1326559.0
469,-157.0,-50.0,1098000.0
470,-157.0,-49.0,2532416.0
471,-157.0,-48.0,4376701.0
472,-157.0,-47.0,2896886.0
473,-157.0,-46.0,1151611.0
474,-157.0,-45.0,6137046.0
475,-157.0,-43.0,1991945.0
476,-157.0,-42.0,4000272.0
477,-157.0,-41.0,4074002.0
478,-157.0,-40.0,2652865.0
479,-157.0,-39.0,1616916.0
480,-157.0,-38.0,5948402.0
481,-157.0,-37.0,4148791.0
482,-157.0,-36.0,4011941.0
483,-157.0,-34.0,6360271.0
484,-157.0,-33.0,6124237.0
485,-157.0,-32.0,4375109.0
486,-157.0,-31.0,1225567.0
487,-157.0,-29.0,9656218.0
488,-157.0,-28.0,4964416.0
489,-157.0,-27.0,6193001.0
490,-157.0,-26.0,3660619.0
491,-157.0,-25.0,10462890.0
492,-157.0,-24.0,3859874.0
493,-157.0,-23.0,4216067.0
494,-157.0,-22.0,2647900.0
495,-157.0,-21.0,3251530.0
496,-157.0,-20.0,2886462.0
497,-157.0,-19.0,1613907.0
498,-157.0,-18.0,5682445.0
499,-157.0,-17.0,5297014.0
500,-157.0,-16.0,8758884.0
501,-157.0,-15.0,9168024.0
502,-157.0,-14.0,5191827.0
503,-157.0,-13.0,5637300.0
504,-157.0,-12.0,11295538.0
505,-157.0,-11.0,6185277.0
506,-157.0,-10.0,5825627.0
507,-157.0,-9.0,5354323.0
508,-157.0,-8.0,9565588.0
509,-157.0,-7.0,6650169.0
510,-157.0,-6.0,6765935.0
511,-157.0,-5.0,1324604.0
512,-157.0,-4.0,5913897.0
513,-157.0,-3.0,8605464.0
514,-157.0,-2.0,4034684.0
515,-157.0,-1.0,4145875.0
516,-157.0,0.0,7381673.0
517,-157.0,1.0,4929823.0
518,-157.0,2.0,8508039.0
519,-157.0,3.0,5318430.0
520,-157.0,4.0,6482735.0
521,-157.0,5.0,8776159.0
522,-157.0,6.0,6490970.0
523,-157.0,7.0,8212911.0
524,-157.0,8.0,3711738.0
525,-157.0,9.0,6531782.0
526,-157.0,10.0,10434762.0
527,-157.0,11.0,5633258.0
528,-157.0,12.0,9483929.0
529,-157.0,13.0,6021109.0
530,-157.0,14.0,4271376.0
531,-157.0,15.0,9776301.0
532,-157.0,16.0,10166970.0
533,-157.0,17.0,4852295.0
534,-157.0,18.0,6926516.0
535,-157.0,19.0,7584001.0
536,-157.0,20.0,6270968.0
537,-157.0,21.0,5570587.0
538,-157.0,22.0,5694663.0
539,-157.0,23.0,1469365.0
540,-157.0,24.0,2358379.0
541,-157.0,25.0,6902878.0
542,-157.0,26.0,10905909.0
543,-157.0,27.0,8068204.0
544,-157.0,28.0,4180440.0
545,-157.0,29.0,7065415.0
546,-157.0,30.0,4620758.0
547,-157.0,31.0,5396347.0
548,-157.0,32.0,7902663.0
549,-157.0,33.0,7164480.0
550,-157.0,34.0,7945581.0
551,-157.0,35.0,4924358.0
552,-157.0,36.0,2911243.0
553,-157.0,37.0,4559085.0
554,-157.0,38.0,5653813.0
555,-157.0,39.0,4820757.0
556,-157.0,40.0,5547298.0
557,-157.0,41.0,6943093.0
558,-157.0,42.0,2782836.0
559,-157.0,43.0,5210634.0
560,-157.0,44.0,2942263.0
561,-157.0,45.0,1248020.0
562,-157.0,46.0,4297967.0
563,-157.0,47.0,2520063.0
564,-157.0,48.0,1547961.0
565,-157.0,49.0,1495620.0
566,-157.0,50.0,1501315.0
567,-157.0,52.0,1271918.0
568,-156.0,-55.0,1123784.0
569,-156.0,-52.0,4238205.0
570,-156.0,-51.0,1329525.0
571,-156.0,-48.0,1687140.0
572,-156.0,-47.0,4899357.0
573,-156.0,-45.0,5012997.0
574,-156.0,-43.0,4620471.0
575,-156.0,-42.0,4404236.0
576,-156.0,-41.0,1442620.0
577,-156.0,-40.0,1518501.0
578,-156.0,-39.0,4411783.0
579,-156.0,-38.0,6958222.0
580,-156.0,-37.0,4221450.0
581,-156.0,-36.0,5899944.0
582,-156.0,-35.0,2865602.0
583,-156.0,-34.0,5994472.0
584,-156.0,-33.0,3056109.0
585,-156.0,-32.0,1190499.0
586,-156.0,-31.0,5462406.0
587,-156.0,-30.0,8170145.0
588,-156.0,-29.0,5941429.0
589,-156.0,-28.0,4517466.0
590,-156.0,-27.0,4493989.0
591,-156.0,-26.0,4365347.0
592,-156.0,-25.0,3928327.0
593,-156.0,-24.0,5142723.0
594,-156.0,-23.0,7035482.0
595,-156.0,-22.0,6710987.0
596,-156.0,-21.0,9768136.0
597,-156.0,-20.0,4336468.0
598,-156.0,-19.0,5053246.0
599,-156.0,-18.0,5770762.0
600,-156.0,-17.0,1027197.0
601,-156.0,-16.0,6907922.0
602,-156.0,-15.0,3867606.0
603,-156.0,-14.0,6566264.0
604,-156.0,-13.0,9030628.0
605,-156.0,-12.0,6972667.0
606,-156.0,-11.0,6963847.0
607,-156.0,-10.0,3862336.0
608,-156.0,-9.0,9717199.0
609,-156.0,-8.0,6840275.0
610,-156.0,-7.0,7315238.0
611,-156.0,-6.0,7917880.0
612,-156.0,-5.0,1167660.0
613,-156.0,-4.0,7206120.0
614,-156.0,-3.0,8284787.0
615,-156.0,-2.0,8171890.0
616,-156.0,-1.0,5506112.0
617,-156.0,0.0,7439822.0
618,-156.0,1.0,4186319.0
619,-156.0,2.0,5768571.0
620,-156.0,3.0,9645258.0
621,-156.0,4.0,7539068.0
622,-156.0,5.0,5502573.0
623,-156.0,6.0,5885209.0
624,-156.0,7.0,6952144.0
625,-156.0,8.0,2417440.0
626,-156.0,9.0,5951579.0
627,-156.0,10.0,4049655.0
628,-156.0,11.0,4288754.0
629,-156.0,12.0,6295748.0
630,-156.0,13.0,7830828.0
631,-156.0,14.0,5426006.0
632,-156.0,15.0,6243773.0
633,-156.0,16.0,3122165.0
634,-156.0,17.0,6258627.0
635,-156.0,18.0,7550396.0
636,-156.0,19.0,8578526.0
637,-156.0,20.0,4167631.0
638,-156.0,21.0,3561394.0
639,-156.0,22.0,11056358.0
640,-156.0,23.0,9521578.0
641,-156.0,24.0,6583409.0
642,-156.0,25.0,2574386.0
643,-156.0,26.0,5136588.0
644,-156.0,27.0,4145634.0
645,-156.0,28.0,2761994.0
646,-156.0,29.0,9077170.0
647,-156.0,30.0,4321297.0
648,-156.0,31.0,4632062.0
649,-156.0,32.0,4914649.0
650,-156.0,33.0,4056217.0
651,-156.0,34.0,8841187.0
652,-156.0,35.0,7252623.0
653,-156.0,36.0,4929449.0
654,-156.0,37.0,2404187.0
655,-156.0,38.0,4360590.0
656,-156.0,39.0,2448159.0
657,-156.0,40.0,6487717.0
658,-156.0,41.0,5753031.0
659,-156.0,43.0,4256441.0
660,-156.0,44.0,4125268.0
661,-156.0,45.0,4961997.0
662,-156.0,46.0,4302357.0
663,-156.0,47.0,4685784.0
664,-156.0,48.0,2253407.0
665,-156.0,49.0,2905411.0
666,-156.0,50.0,4651514.0
667,-156.0,51.0,1318734.0
668,-156.0,52.0,1683160.0
669,-156.0,53.0,2996489.0
670,-156.0,54.0,2747165.0
671,-155.0,-55.0,1141663.0
672,-155.0,-53.0,3627577.0
673,-155.0,-52.0,3911849.0
674,-155.0,-51.0,2749325.0
675,-155.0,-50.0,3054910.0
676,-155.0,-49.0,1664559.0
