,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
333,83145,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83145,0.00303035,0.000817,1.38772,0.063255,30911.3,12235.6,12235.6,0.00077533,0.00122705,0.00182276
334,83146,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83146,0.00359386,0.009868,1.23753,0.048105,30977.1,12412.0,12412.0,0.00428052,0.00663631,0.00999784
335,83147,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83147,0.00385883,0.015104,1.22957,0.020157,31069.8,12275.9,12275.9,0.00732199,0.0112979,0.0141334
336,83148,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83148,0.0011392,0.01164,0.911235,0.007245,30997.9,12257.4,12257.4,0.00535068,0.00891183,0.00938269
337,83151,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83151,0.369944,0.02759,0.070571,0.042981,30956.2,12141.1,12141.1,0.0175931,0.0270925,0.0275844
338,83152,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83152,0.31746,0.004606,0.05656,0.051953,30957.2,12167.2,12167.2,0.0138927,0.0155356,0.0156232
339,83263,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83263,3.53887,1.62359,111.597,13.1209,20941.0,19112.7,19112.7,0.0252746,0.0200122,0.0118176
340,83264,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83264,3.31672,1.43272,6.25896,0.930752,20972.4,19127.7,19127.7,0.023121,0.0235431,0.0183537
341,83265,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83265,0.134616,0.09461,4.14976,0.480733,20840.0,19173.5,19173.5,0.0106564,0.00701468,0.0125796
342,83267,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83267,0.00490116,0.010182,1.12371,0.023484,20931.7,19272.4,19272.4,0.00671136,0.00721712,0.00961193
343,83272,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83272,0.00946897,5.7e-05,0.061548,0.061491,20910.6,19245.8,19245.8,0.00548117,0.00551435,0.00572914
344,83399,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83399,0.0858617,5.25314,142.009,5.85564,27432.7,11350.1,11350.1,0.0245544,0.0111259,0.0108222
345,83410,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83410,0.00941472,0.000301,0.028454,0.028153,27450.8,11327.7,11327.7,0.00733636,0.00771142,0.00752704
346,83641,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83641,0.636412,3.99946,139.185,5.9526,31896.4,18200.5,18200.5,0.0257473,0.00999245,0.00942545
347,83642,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83642,0.00770664,0.080141,0.58122,0.033612,31848.7,18176.9,18176.9,0.0157094,0.0148012,0.0181995
348,83643,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83643,0.00577465,0.007091,0.890453,0.031831,31895.4,18086.8,18086.8,0.00459224,0.00401513,0.0045271
349,83649,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83649,0.0948678,0.001598,0.037654,0.03581,31913.1,18185.1,18185.1,0.00730202,0.00777709,0.00801193
