,slope,met,mass(wrongunits),id,sfr,massplot
3632,-0.0060639621209553725,0.015552475117146969,4.551222324371338,613359.0,0.5900236368179321,10.827282636930306
3633,-0.01213483134232691,0.007660665549337864,1.5570069551467896,613360.0,0.03356076031923294,10.36144620955358
3634,-0.003453026340261517,0.021124588325619698,14.067700386047363,613552.0,0.48129919171333313,11.317377905910805
3635,-0.004625623417899878,0.01716628670692444,10.101125717163086,613553.0,0.9127129316329956,11.173523478297527
3636,-0.001892024545133146,0.022020652890205383,20.13941192626953,613808.0,0.8648361563682556,11.473201335449668
3637,-0.004793417152766307,0.012004123069345951,8.38902473449707,613809.0,0.4354206621646881,11.092866037477066
3638,-0.0028782641936826447,0.016432300209999084,24.3315486907959,613990.0,1.4748913049697876,11.555323691042357
3639,-0.0003056256303303485,0.007772665936499834,1.4565171003341675,613991.0,0.018621841445565224,10.332471260149756
3640,-0.004060243665477525,0.023269793018698692,26.845867156982422,614180.0,1.4051960706710815,11.598032775814891
3641,0.0002801849601010408,0.004452129360288382,0.467155784368515,614181.0,0.0058834245428442955,9.838616738848211
3642,-0.0045215176992434505,0.018799301236867905,27.125083923339844,614326.0,1.6260823011398315,11.60252615563067
3643,-0.003465413594899872,0.011396118439733982,20.455089569091797,614626.0,0.39528486132621765,11.479956414690877
3644,-0.0015515171365530626,0.008432774804532528,3.264554500579834,614627.0,0.08079634606838226,10.682978132357343
3645,0.00012515693793666884,0.006138558033853769,0.7779126763343811,614628.0,0.001522557227872312,10.060085836901305
3646,-0.0024081198099777292,0.01968805119395256,23.545072555541992,614910.0,0.570729672908783,11.541055346995758
3647,-0.004058526025360901,0.011951275169849396,1.013511061668396,614911.0,0.16813187301158905,10.1749828457953
3648,2.6314635454577178e-05,0.0018342913826927543,1.0423314571380615,614912.0,0.00036428001476451755,10.187160045358963
3649,-0.0005619003327255806,0.008024551905691624,0.9977896213531494,614913.0,0.004666863940656185,10.168193954752377
3650,2.9852303495301378e-05,0.0019782136660069227,0.3441065549850464,614914.0,0.0004954833420924842,9.705848315041909
3651,-0.0027308386177617994,0.016112474724650383,27.28202247619629,615182.0,1.6429188251495361,11.60503101228014
3652,-0.005036111003416499,0.024490362033247948,26.552997589111328,615292.0,1.2366740703582764,11.593268403159422
3653,-0.002306782179809286,0.015440640039741993,26.182443618774414,615462.0,1.718030333518982,11.587164261173651
3654,0.00020926591892611642,0.004371013958007097,1.2052600383758545,615463.0,0.007761004380881786,10.250235551187485
3655,-0.00016740812848269415,0.002233521081507206,0.003877385053783655,615493.0,0.0011975086526945233,7.757650608698598
3656,-0.005053570850463994,0.019143473356962204,25.675853729248047,615607.0,1.0678938627243042,11.578680483258982
3657,-0.002815065310077358,0.027280379086732864,0.04621195048093796,615608.0,0.12603962421417236,8.833909572361744
3658,-0.003309968390744711,0.01696503907442093,24.61952018737793,615792.0,2.952360153198242,11.5604340362442
3659,-0.008158352419922205,0.01575811766088009,0.3230486810207367,615793.0,0.03578620031476021,9.67842320870864
3660,-0.0001911313133642718,0.004257699474692345,0.12276262789964676,615795.0,0.003421071683987975,9.258222300578627
3661,-0.0037439650938184688,0.02146007865667343,27.08705711364746,615903.0,1.3684219121932983,11.601917318763132
3662,-0.0037096328232494257,0.013304515741765499,25.569580078125,616014.0,0.8917753100395203,11.576878741851804
3663,-0.0028042512206957735,0.02063561975955963,0.5066995024681091,616015.0,0.031481605023145676,9.873905711982061
3664,,,,,,9.574827235938033
3665,-0.006646834766426299,0.020709237083792686,24.28411102294922,616200.0,1.1528286933898926,11.554476820286254
3666,-5.209766550202201e-05,0.003629467450082302,1.1887152194976807,616201.0,0.0194650087505579,10.244230723906846
3667,-0.001894054099578879,0.015401597134768963,21.098154067993164,616387.0,1.1019275188446045,11.493400212590348
3668,-0.0028611300025673456,0.008206801488995552,3.089808464050293,616388.0,0.07117271423339844,10.659086582103743
3669,-0.00012752767194653888,0.006836988497525454,1.731121301651001,616389.0,0.013868694193661213,10.40748198159306
3670,-0.0038463591699633396,0.020547447726130486,25.544445037841797,616526.0,1.7969013452529907,11.576450513897402
