,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
472,66172,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66172,0.168373,0.11303,6.33079,0.178509,33369.0,29420.8,29420.8,0.0134395,0.0123424,0.0175688
473,66173,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66173,0.000230436,0.00379,1.63261,0.042471,33085.3,29270.7,29270.7,0.00322717,0.00272489,0.00245119
474,66179,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66179,0.0499844,0.001532,0.113995,0.112463,33748.7,29417.5,29417.5,0.00703048,0.00704636,0.00719158
475,66181,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66181,0.00235912,0.002608,0.064921,0.062314,33756.9,29399.3,29399.3,0.0068527,0.00762777,0.00678089
476,66186,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66186,0.0628652,0.003628,0.051046,0.047417,33685.8,29384.4,29384.4,0.00766,0.00957953,0.0102813
477,66190,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66190,0.00358327,0.000897,0.046233,0.045336,33733.3,29327.0,29327.0,0.0076922,0.00866689,0.00883243
478,66193,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66193,0.00361427,0.000245,0.036383,0.036137,33750.0,29381.8,29381.8,0.00688929,0.00674953,0.00717357
479,66195,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66195,0.0154011,0.00023,0.036355,0.036125,33641.2,29416.3,29416.3,0.00417281,0.00473429,0.00471271
480,66206,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66206,0.0302912,0.002294,0.01812,0.015826,33620.9,29413.9,29413.9,0.00687017,0.0097282,0.0101951
481,66477,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66477,1.98942,4.36696,222.327,10.731,11678.9,18134.7,18134.7,0.0220164,0.0256593,0.0232323
482,66480,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66480,0.803449,0.235558,12.343,1.23509,11879.2,18211.9,18211.9,0.0146821,0.0150856,0.0195111
483,66481,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66481,0.103494,0.039591,1.22134,0.10035,11688.9,18045.2,18045.2,0.00897837,0.00757296,0.00964492
484,66482,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66482,0.0272133,0.020267,1.18272,0.053967,11922.4,17935.9,17935.9,0.00809275,0.00901853,0.0104826
485,66824,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66824,0.0623318,8.9759,321.082,14.8549,16706.0,32497.5,32497.5,0.0221697,0.0210756,0.0107042
486,66825,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66825,1.61615,0.496287,23.0609,1.93277,16673.7,32387.6,32387.6,0.0176456,0.0178372,0.0289955
487,66828,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66828,0.188158,0.002765,0.160014,0.157249,16781.9,32503.0,32503.0,0.00668108,0.00697815,0.00738868
488,66833,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66833,0.0652955,0.000942,0.097404,0.096462,16759.9,32499.0,32499.0,0.00643055,0.00710496,0.007548
489,66835,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66835,0.0858974,0.002243,0.082226,0.079492,16759.6,32493.3,32493.3,0.00749233,0.00784719,0.00835421
490,66840,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66840,0.0244977,0.000219,0.042581,0.042361,16785.4,32508.0,32508.0,0.00643343,0.00670881,0.006699
491,66858,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66858,0.0328767,0.000135,0.021807,0.021672,16713.4,32521.0,32521.0,0.0121375,0.0118032,0.0120599
492,66865,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/66865,0.00832203,0.004859,0.014187,0.009329,16800.9,32535.0,32535.0,0.0102689,0.0162675,0.0186389
493,67132,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67132,0.223723,8.86369,335.69,13.067,67.9579,10539.3,10539.3,0.0250063,0.00792084,0.00754867
494,67133,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67133,0.136805,0.10243,5.90254,0.389817,34984.7,10353.4,10353.4,0.0120046,0.0147178,0.0170007
495,67135,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67135,0.0341624,0.020109,1.40523,0.053358,341.383,10607.6,10607.6,0.0103159,0.0106137,0.0137823
496,67136,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67136,0.0061261,0.021269,1.2286,0.02423,27.4778,10711.7,10711.7,0.00674277,0.0117398,0.0139763
497,67137,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67137,0.00171042,0.002982,1.05709,0.011275,24.3661,10555.5,10555.5,0.00225091,0.00334866,0.00406807
498,67471,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67471,0.0454008,0.024555,4.20085,0.209672,14380.9,7996.56,7996.56,0.00679056,0.00764072,0.00988194
499,67472,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/67472,0.00916729,0.06324,3.16773,0.080742,14558.8,8316.1,8316.1,0.0119953,0.0116394,0.0193877
500,71364,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71364,0.00671202,0.043816,1.90305,0.021013,23681.6,26587.2,26587.2,0.0106666,0.014385,0.0168595
501,71372,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71372,0.264118,0.003936,0.05092,0.046984,23819.0,26811.6,26811.6,0.00536725,0.00636189,0.00659361
502,71379,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71379,0.0990301,0.003275,0.031566,0.02829,23823.9,26773.5,26773.5,0.0071276,0.00841683,0.00855427
503,71388,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71388,0.0320701,0.001958,0.022884,0.020927,23813.7,26765.1,26765.1,0.00615107,0.00764919,0.00826266
504,71390,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71390,0.103969,0.00227,0.020486,0.018216,23810.3,26802.7,26802.7,0.00731717,0.00892473,0.00900068
505,71658,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71658,0.86843,5.3728,254.501,12.7525,33594.4,10411.6,10411.6,0.021392,0.0129581,0.0111158
506,71659,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71659,0.115882,0.347259,5.18805,0.111272,33619.7,10294.6,10294.6,0.0165001,0.0209941,0.0363224
507,71660,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71660,0.0521432,0.090521,2.96283,0.145476,33468.7,10602.8,10602.8,0.0111968,0.0147503,0.020737
508,71661,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71661,0.171171,0.051059,2.92692,0.22305,33708.0,10576.0,10576.0,0.0113333,0.00867399,0.0112871
509,71662,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71662,0.10654,0.092618,1.3199,0.092723,33596.5,10362.6,10362.6,0.0110595,0.0116666,0.015438
510,71706,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71706,0.00236128,0.000511,0.00957,0.009059,33595.6,10433.0,10433.0,0.00785589,0.00830776,0.00908788
511,71860,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71860,1.63452,4.8025,222.733,15.7481,24777.9,19447.2,19447.2,0.0252168,0.0132351,0.00887046
512,71861,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71861,0.808167,0.540003,2.48496,0.242611,24806.5,19451.9,19451.9,0.019456,0.0174999,0.0228398
513,71862,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71862,0.110801,0.408568,0.659945,0.014826,24785.9,19445.9,19445.9,0.0251057,0.0525237,0.0531054
514,71863,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71863,0.0274663,0.002987,1.59763,0.094687,24603.5,19489.4,19489.4,0.00281691,0.00252839,0.00436249
515,71864,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71864,1.43472,0.185268,0.256098,0.070584,24789.6,19442.0,19442.0,0.034015,0.0626572,0.0617488
516,71865,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71865,0.0435967,0.024549,0.74297,0.119915,24758.0,19397.9,19397.9,0.0066613,0.0104529,0.0192827
517,71866,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71866,0.0663441,0.041269,0.706139,0.089231,24864.9,19491.1,19491.1,0.00944643,0.0137762,0.0233816
518,71869,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71869,0.0752447,0.085816,0.092659,0.006842,24810.2,19445.0,19445.0,0.0306606,0.0290732,0.0297981
519,71870,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71870,0.598561,0.00785,0.141623,0.13279,24743.1,19454.8,19454.8,0.00768787,0.00876579,0.00883939
520,71880,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71880,0.496858,0.005516,0.068425,0.062663,24804.6,19443.2,19443.2,0.0131757,0.013358,0.0136403
521,71881,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71881,0.0451209,0.03785,0.04623,0.008381,24733.5,19462.8,19462.8,0.0263958,0.0575156,0.0592116
522,71887,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71887,0.0817278,0.022121,0.036597,0.014476,24725.7,19458.9,19458.9,0.0164545,0.0339611,0.036157
523,71888,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71888,0.117,0.003816,0.049913,0.04585,24760.0,19454.4,19454.4,0.00916499,0.0107751,0.0111073
524,71892,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71892,0.0406036,0.017612,0.028751,0.011139,24704.5,19456.6,19456.6,0.0156117,0.0302507,0.0322531
