,Unnamed: 0,id,slope,AIC,mass,sfr,url
3829,3829,251689,-1.5110683331857759e-05,2.0,8.495552121038502,0.029705099999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/251689/
3836,3836,252072,-0.0008547876554019436,2.0,9.666037427701305,0.979504,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/252072/
3837,3837,252073,-0.00012020641952300503,2.0,9.041357713584997,0.0895306,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/252073/
3847,3847,252489,-0.002317788207631083,2.0,9.850334515656934,0.876718,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/252489/
3848,3848,252491,-0.0017957870793931245,1.0,9.027848371242936,0.00702524,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/252491/
3864,3864,253659,-0.0012623193653639195,2.0,10.04256144594164,0.9884280000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/253659/
3870,3870,253912,-0.002971633493036242,1.0,9.496466733542697,0.350846,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/253912/
3882,3882,254460,-0.002202438222678468,1.0,9.546446484874725,0.270984,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/254460/
3884,3884,254462,-0.0011807846560291197,1.0,8.999005125821059,0.013465600000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/254462/
3894,3894,254995,-0.0016580940467472312,1.0,9.55838292969361,0.108579,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/254995/
3907,3907,255637,-0.0018518895745693936,1.0,9.154522892862277,0.0729084,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/255637/
3915,3915,255845,-0.0004100894537453633,1.0,9.056997072798746,0.0154012,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/255845/
3917,3917,255851,-8.147347408719682e-05,2.0,8.822839962622403,0.00327778,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/255851/
3918,3918,255852,-6.194648589748497e-05,2.0,8.832205217513984,0.0015527000000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/255852/
3919,3919,255862,9.792682760945542e-05,1.0,8.253552326832537,0.0013570000000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/255862/
3923,3923,256143,-0.000824723010943844,1.0,9.151263149756275,0.016424200000000003,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256143/
3928,3928,256348,-0.00035805474059088035,1.0,8.589754089982831,0.00528366,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256348/
3930,3930,256492,-0.00017481376104190043,2.0,8.42977468286376,0.00320004,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256492/
3938,3938,256749,-0.0021762059940968028,1.0,9.318626415355448,0.0158058,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256749/
3939,3939,256750,-0.0011183359925559932,1.0,9.089142395746313,0.0842849,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256750/
3940,3940,256753,0.00010913715070271285,1.0,8.730291983366772,0.0127499,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256753/
3943,3943,256872,-0.005034728736900743,1.0,8.570744880098044,0.110623,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256872/
3949,3949,256994,-4.871882088051166e-05,2.0,8.796899482414165,0.00200708,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256994/
3950,3950,256995,-0.0001287720000061488,2.0,8.71778986750614,0.0133942,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256995/
3951,3951,256998,-0.00015223148708989355,1.0,8.693018284198077,0.00259568,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/256998/
3957,3957,257173,-0.00029387306270586963,2.0,9.130043980712674,0.057142399999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257173/
3958,3958,257174,-0.0004562968962403596,1.0,8.854717418849619,0.040097900000000006,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257174/
3959,3959,257176,-0.00027928647119813873,1.0,8.851949485372494,0.014693000000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257176/
3961,3961,257360,-0.005685949209148333,1.0,9.429836642206773,0.6321,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257360/
3962,3962,257361,-0.00017120888767433446,2.0,9.198992936243524,0.178347,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257361/
3964,3964,257366,0.00014240298420747376,1.0,8.456799805148936,0.00701862,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257366/
3969,3969,257501,-0.00032013118494272105,2.0,8.811292742347169,0.00145108,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257501/
3976,3976,257645,-0.0007895236744131733,1.0,8.917559927669819,0.0193285,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257645/
3977,3977,257648,-2.0966148866218183e-05,1.0,8.667741016508906,0.00283503,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257648/
3978,3978,257649,-6.941324795803896e-05,2.0,8.641677230608273,0.00351703,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257649/
3983,3983,257884,-0.0002532223805829305,1.0,8.363308243856487,0.00628499,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/257884/
3990,3990,258310,-0.0011395692171227453,1.0,9.791301452779015,0.146367,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/258310/
3995,3995,258586,-0.00429371553538882,1.0,9.77032140558256,1.16629,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/258586/
3999,3999,258764,-0.0007936024361308088,1.0,9.218500773280752,0.0138127,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/258764/
4001,4001,258767,0.00036294668161708727,1.0,8.844217898901055,0.010952,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/258767/
4002,4002,258782,-0.00012519361880770726,2.0,8.059240334407713,0.00260423,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/258782/
4008,4008,259076,-3.8651325154764e-05,1.0,8.880202411558422,0.0026,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259076/
4009,4009,259082,2.1596819183458593e-05,1.0,8.485020238428168,0.0015040999999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259082/
4014,4014,259356,-0.0007577073293485215,1.0,9.5426222050973,0.0873911,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259356/
4015,4015,259357,-0.0010494798505635314,1.0,9.188113144151668,0.0387609,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259357/
4016,4016,259359,-5.0905812790529306e-05,2.0,9.017109773766766,0.00741872,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259359/
4029,4029,259831,-0.001509845689551058,1.0,8.906641652844835,0.043586599999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259831/
4031,4031,259833,-0.0003735237818668658,1.0,8.77918649237399,0.012345299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/259833/
