,id,mass,sfr,url
7183,812644,10.486135233367175,0.0399512,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812644/
7184,812657,10.497469160109171,0.0179387,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812657/
7185,812715,10.46628694241742,0.0134073,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812715/
7186,812734,10.44440625541444,0.0256705,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812734/
7187,812766,10.469274002017904,0.034448,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812766/
7188,812822,10.47845487104375,0.0171201,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812822/
7189,812874,10.256428542352815,0.0115688,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812874/
7190,812902,10.26056146226007,0.015509,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812902/
7191,812924,10.469924148461939,0.0381251,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812924/
7192,812989,10.473858552728355,0.0329701,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/812989/
7193,813043,10.436195054079977,0.0400021,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813043/
7194,813074,10.496640435398076,0.0152621,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813074/
7195,813089,10.457336938305046,0.0309783,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813089/
7196,813108,10.498493692226111,0.0226018,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813108/
7197,813121,10.484999252442423,0.0224361,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813121/
7198,813137,10.451684025534636,0.0294413,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813137/
7199,813177,10.532273931606895,0.0111119,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813177/
7200,813311,10.443250280395945,0.0323863,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813311/
7201,813344,10.466976575152861,0.0241238,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813344/
7202,813391,10.485200676056401,0.0137098,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813391/
7203,813445,10.333293438027557,0.0108081,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813445/
7204,813497,10.488135872186112,0.0141346,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813497/
7205,813543,10.445175199572125,0.0127287,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813543/
7206,813560,10.444724127948442,0.0192692,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813560/
7207,813567,10.442836520176764,0.0151182,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813567/
7208,813594,10.408366668142518,0.0220608,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813594/
7209,813623,10.47816928838678,0.0137607,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813623/
7210,813669,10.477932581356109,0.0285702,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813669/
7211,813688,10.506358408947419,0.0196728,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813688/
7212,813701,10.326934834123389,0.0163978,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813701/
7213,813716,10.504999689890415,0.0155226,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813716/
7214,813733,10.467523124335635,0.0120927,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813733/
7215,813777,10.447224427949251,0.0150928,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813777/
