,Unnamed: 0,id,slope,AIC,met,mass,sfr,url
2505,2505,533064,-0.0036623739630887615,2.0,0.015672653913497925,9.175179913549462,0.0541306,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/533064/
2507,2507,533067,-2.250606894105625e-05,1.0,0.015972103923559192,8.835017107894544,0.211707,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/533067/
2509,2509,533074,0.0005537209998124358,1.0,0.008957086130976677,8.455274310281752,0.0952939,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/533074/
2510,2510,533075,0.00012238021445294366,1.0,0.02090664580464363,8.352082776928379,0.0356633,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/533075/
2514,2514,533603,-8.73089317239476e-05,2.0,0.008730997331440449,8.177115841027572,0.0250202,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/533603/
2525,2525,534012,-0.0009040276005748052,1.0,0.019443929195404053,8.797441538780904,0.204741,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/534012/
2526,2526,534018,0.0004749309715696254,1.0,0.011223199777305126,8.571553766604621,0.060270000000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/534018/
2527,2527,534022,-0.0007086756391421451,1.0,0.01668248325586319,8.464347923577249,0.07395800000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/534022/
2534,2534,535055,-0.006729011444031711,1.0,0.049570970237255096,9.146658924524466,0.7546010000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/535055/
2535,2535,535056,-1.769367895857632e-05,2.0,0.01737027801573276,8.742722580730607,0.241258,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/535056/
2536,2536,535057,-0.0012142098873421116,2.0,0.02545789815485477,8.66044644837898,0.16339,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/535057/
2537,2537,535059,-0.0006487155938176824,1.0,0.01799325831234455,8.45313409192987,0.10657,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/535059/
2543,2543,535781,7.694621977123374e-05,2.0,0.03337348997592926,8.694082922923046,0.297053,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/535781/
2548,2548,536157,-0.00034801732721594255,2.0,0.008637889288365841,8.608834798207015,0.0916151,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/536157/
2549,2549,536160,0.000397955398773134,1.0,0.005469999741762877,8.567615657299612,0.013699200000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/536160/
2550,2550,536161,-0.00046504742925024923,1.0,0.009143265895545484,8.438807824312358,0.06976560000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/536161/
2551,2551,536164,0.00042880983729866155,1.0,0.016064304858446118,8.37684302102697,0.12051700000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/536164/
2552,2552,536168,-0.0007351812385405393,1.0,0.016146976500749588,8.288641643256025,0.07252180000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/536168/
2559,2559,537239,-0.002184908509004633,1.0,0.040651846677064896,8.808661218268293,0.35826199999999997,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/537239/
2560,2560,537240,4.625541995212162e-05,2.0,0.022429870441555973,8.717998553751581,0.16278099999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/537240/
2561,2561,537241,0.0001700217987128906,1.0,0.0237929318100214,8.530353615300518,0.0942436,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/537241/
2562,2562,537242,-0.000961458121691245,1.0,0.028135523200035092,8.491043085273686,0.10899,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/537242/
2565,2565,537492,-0.00018403575469161815,2.0,0.007187348324805498,8.555903398520773,0.049397,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/537492/
2573,2573,538386,-0.0004977753356151446,1.0,0.010637893341481686,8.353022284843552,0.0955238,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/538386/
2580,2580,539669,-8.806081893354609e-05,2.0,0.011031241156160831,9.275780801682624,0.6909489999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539669/
2581,2581,539673,-0.00011360723117292558,2.0,0.006560005247592926,8.781928071733606,0.10108099999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539673/
2582,2582,539678,-0.00033561644539859627,1.0,0.010913454927504064,8.482008898949678,0.0912167,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539678/
2583,2583,539679,,,,8.464611945763952,0.00242716,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539679/
2584,2584,539682,-0.0002467251676582444,1.0,0.0088718943297863,8.345477628726378,0.00768082,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539682/
2585,2585,539683,0.0005643434652294651,1.0,0.010415121912956238,8.349079839765725,0.0254148,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/539683/
2592,2592,540457,-0.0010732942134929477,2.0,0.02099313773214817,8.88499943780645,0.39103000000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/540457/
2593,2593,540458,0.0004349703597748,1.0,0.021102976053953167,8.83773639240199,0.385219,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/540458/
2594,2594,540460,-0.00029458560603917597,2.0,0.02550959400832653,8.640064876229756,0.233048,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/540460/
2608,2608,542254,-0.005044032570488227,2.0,0.06880228966474533,9.089805022686113,0.43003100000000005,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/542254/
2609,2609,542260,-0.0005857002928572774,2.0,0.023703204467892647,8.546060098615202,0.148002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/542260/
2619,2619,543733,9.144606965695884e-05,1.0,0.021113386377692226,8.468116989611506,0.10831400000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/543733/
2627,2627,544012,-8.188540160120541e-05,1.0,0.013316573575139046,8.685557956138794,0.186184,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544012/
2629,2629,544409,-0.0006270663688584149,1.0,0.021657278761267662,9.670916319091617,0.137521,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544409/
2634,2634,544701,-0.0012750668971220193,1.0,0.017290523275732994,8.941043471317574,0.270862,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544701/
2635,2635,544703,-2.10017389398738e-06,1.0,0.008510234765708447,8.891467825997982,0.191892,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544703/
2636,2636,544705,-0.00010194979106764204,2.0,0.006608973257243632,8.680168709957634,0.139417,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544705/
2637,2637,544706,-0.00018628928060186403,1.0,0.010607985779643059,8.663629436746143,0.185584,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544706/
2638,2638,544709,-0.000374929078853784,1.0,0.011342876590788364,8.478401604945061,0.0713244,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544709/
2639,2639,544711,-0.00029306632266212784,1.0,0.01219768263399601,8.417299794979169,0.0458785,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544711/
2640,2640,544715,-0.0002148273038682913,1.0,0.007805537432432175,8.11071592792746,0.00915451,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544715/
2641,2641,544717,-3.034496776160491e-05,1.0,0.007586082443594931,8.093485792400067,0.000640161,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/544717/
2669,2669,548793,-0.0014025243856996667,1.0,0.015654830262064934,8.985309903276884,0.372712,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548793/
2670,2670,548794,-0.00046640561136002313,1.0,0.008533499203622341,8.76478328180908,0.103557,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548794/
2671,2671,548795,-0.0024981501715194763,1.0,0.02661058120429516,8.735910390993803,0.14728,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548795/
2672,2672,548796,-7.671942790614319e-05,1.0,0.013621807098388672,8.750262125967316,0.135969,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548796/
2673,2673,548799,-6.360253060294176e-05,2.0,0.014966816641390325,8.574859658645101,0.07098600000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548799/
2674,2674,548800,-0.0005742200775914062,1.0,0.016707589849829674,8.566555957043999,0.0822581,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548800/
2675,2675,548802,-0.00022175263821981679,1.0,0.005637858062982559,8.504391994601118,0.0413602,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548802/
2676,2676,548803,-0.00033773351465784764,1.0,0.0057185348123312,8.467876921297098,0.058898900000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548803/
2677,2677,548807,-0.0001930044673546294,1.0,0.007537876721471548,8.353647496219812,0.0228007,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548807/
2678,2678,548810,-0.000488716412546989,1.0,0.009379067458212377,8.26564769774575,0.025300200000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548810/
2679,2679,548812,-0.00012939936162327566,1.0,0.005312086548656225,8.154895548741463,0.00163051,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/548812/
2687,2687,549517,-0.01354927100823522,2.0,0.05677629634737968,9.024625503809716,0.319753,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549517/
2688,2688,549518,-0.002580100846513787,1.0,0.01937403902411461,8.951691926249088,0.349763,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549518/
2689,2689,549519,-0.0049466202681015346,1.0,0.04101886600255966,8.911848524154168,0.552537,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549519/
2690,2690,549520,-0.0010904146369136768,1.0,0.016646869480609894,8.935232881086973,0.237054,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549520/
2691,2691,549521,-0.0012188269176308126,1.0,0.024073082953691486,8.832761515815907,0.252065,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549521/
2692,2692,549522,-0.001658160342839035,1.0,0.025026863440871242,8.775955215247057,0.20544,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549522/
2693,2693,549524,0.0001034088289662822,1.0,0.014936145395040512,8.53809218193591,0.143144,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549524/
