,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
2420,126309,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126309,0.0575224,0.026675,5.53185,0.483631,210.628,22126.6,22126.6,0.0076182,0.00536746,0.00943187
2421,126319,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126319,0.0388062,0.027063,6.60022,0.368134,31817.9,29582.2,29582.2,0.00839625,0.00797134,0.0147781
2422,126330,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126330,0.0477053,0.012614,5.39179,0.555866,29079.8,4760.46,4760.46,0.00561829,0.00432718,0.00758494
2423,126337,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126337,0.041187,0.016279,5.27809,0.542013,7548.92,9946.91,9946.91,0.00627483,0.00480813,0.00844163
2424,126345,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126345,0.171205,0.028112,6.02221,0.536842,9652.01,22112.1,22112.1,0.00879731,0.007827,0.00946456
2425,126355,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126355,0.125478,0.049102,5.74954,0.561467,29741.1,13059.7,13059.7,0.00864088,0.00850254,0.00690064
2426,126357,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126357,0.0578511,0.050576,4.98378,0.246607,4469.44,21998.3,21998.3,0.0126382,0.0176667,0.0205754
2427,126365,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126365,0.0995975,0.027081,6.67988,0.368128,19327.2,29194.1,29194.1,0.00860715,0.00990805,0.0142051
2428,126373,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126373,0.0511787,0.022711,6.53257,0.452379,22722.1,1562.92,1562.92,0.0074868,0.00645347,0.00807556
2429,126377,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126377,0.0321183,0.025684,5.8632,0.47222,7060.42,20879.5,20879.5,0.00734176,0.00365029,0.00895997
2430,126386,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126386,0.104657,0.022664,6.25101,0.438407,10075.6,13634.9,13634.9,0.00621187,0.00841719,0.0106922
2431,126393,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126393,0.0375056,0.002074,5.39921,0.523763,10512.6,22273.9,22273.9,0.00170313,0.00125898,0.00149623
2432,126394,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126394,0.0119709,0.00105,0.264782,0.027098,10526.4,22299.1,22299.1,0.00212564,0.00230378,0.00340456
2433,126395,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126395,0.00127964,0.000206,0.24969,0.01195,10510.0,22258.2,22258.2,0.00036563,0.00026174,0.00030441
2434,126406,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126406,0.0644893,0.029113,4.70243,0.397855,16000.3,29835.8,29835.8,0.00759421,0.00875892,0.0110066
2435,126415,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126415,0.0368421,0.049636,6.83457,0.306183,3196.71,23301.6,23301.6,0.00989032,0.00822711,0.0161801
2436,126418,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126418,0.0817426,0.120004,5.42671,0.484377,23691.0,18509.3,18509.3,0.0147955,0.0158871,0.0238932
2437,126424,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126424,0.0753855,0.015387,4.99796,0.390906,11591.8,18144.0,18144.0,0.00588863,0.00523857,0.00735768
2438,126430,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126430,0.032325,0.006325,4.6623,0.514047,18004.4,4058.94,4058.94,0.00529626,0.00353139,0.00490723
2439,126431,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126431,0.0033009,0.001046,0.487629,0.043973,17975.5,4075.24,4075.24,0.00145263,0.00058489,0.00133317
2440,126448,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126448,0.0610426,0.020358,5.58843,0.617149,23461.4,6116.63,6116.63,0.00557551,0.0038196,0.0037458
2441,126459,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126459,0.0220419,0.017983,5.60175,0.341954,13335.7,21936.5,21936.5,0.00794777,0.00536295,0.00836793
2442,126460,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126460,0.00153949,0.001664,0.621009,0.044444,13328.0,21907.5,21907.5,0.00423938,0.0052069,0.005581
2443,126472,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126472,0.0283321,0.020394,5.41899,0.328179,9923.72,23939.5,23939.5,0.00748591,0.00582544,0.00618518
2444,126485,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126485,0.0222059,0.012618,6.1129,0.398647,27829.5,20365.4,20365.4,0.00629807,0.00720136,0.00860152
2445,126486,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126486,0.0149359,0.00125,0.175687,0.012639,27842.5,20387.8,20387.8,0.00151481,0.00232525,0.00263849
2446,126496,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126496,0.116202,0.023237,6.39406,0.434074,26004.3,14514.8,14514.8,0.00663958,0.00574145,0.00815184
2447,126500,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126500,0.118103,0.04057,5.9689,0.502041,24956.3,442.287,442.287,0.00929398,0.00905472,0.0129865
2448,126509,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126509,0.176521,0.132238,5.10138,0.595083,32023.7,17654.8,17654.8,0.0149679,0.0159366,0.0259269
2449,126512,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126512,0.118086,0.045611,6.10127,0.44171,30894.3,33262.7,33262.7,0.0133471,0.0133886,0.0166506
2450,126521,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126521,0.0383337,0.019643,6.22073,0.45491,12630.4,14239.6,14239.6,0.0072771,0.006502,0.010083
2451,126527,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126527,0.0761993,0.07469,5.90625,0.416486,8577.15,6305.07,6305.07,0.0121899,0.0143134,0.0210398
2452,126539,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126539,0.069303,0.028893,6.29648,0.449365,16674.3,27243.8,27243.8,0.00771718,0.00650108,0.0106635
2453,126543,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126543,0.0391511,0.01479,5.09519,0.41889,28725.7,13820.8,13820.8,0.00717546,0.00622011,0.00992142
2454,126544,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126544,0.000737076,0.000706,0.821527,0.023386,28741.1,13862.6,13862.6,0.00220328,0.00225547,0.00247857
2455,126551,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126551,0.0734595,0.030453,6.65846,0.336664,25350.0,26029.5,26029.5,0.00786185,0.00746908,0.00982385
2456,126558,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126558,0.0511196,0.028146,5.75933,0.325018,3083.57,3202.92,3202.92,0.0082694,0.00700954,0.0128187
2457,126568,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126568,0.0594828,0.055428,5.89029,0.299359,12559.8,27360.1,27360.1,0.0112163,0.0111914,0.0143825
2458,126579,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126579,0.102451,0.033987,6.28594,0.415761,2416.58,27906.2,27906.2,0.00826658,0.0063881,0.00815139
2459,126586,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126586,0.168229,0.067423,5.94608,0.460473,30764.4,18583.8,18583.8,0.0147238,0.0153791,0.0178891
2460,126590,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126590,0.0800957,0.024093,5.83926,0.460928,28058.0,24136.2,24136.2,0.00811288,0.00601979,0.0067197
2461,126599,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126599,0.309693,0.042747,4.87126,0.548886,34810.4,30482.1,30482.1,0.0110022,0.00902032,0.0108793
2462,126607,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126607,0.0827573,0.053878,5.46194,0.344666,18708.3,3603.48,3603.48,0.0119169,0.011318,0.0126338
2463,126613,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/126613,0.0475489,0.01818,5.38265,0.602389,9372.38,16864.7,16864.7,0.0064536,0.00420516,0.00305021
