,id,mass,metallicity
144,19652,0.022154,0.00414911
145,19699,0.070039,0.0160397
146,19739,0.043539,0.0188748
147,19745,0.064555,0.0109237
148,19750,0.048583,0.0113596
149,19809,0.041953,0.0141469
150,20043,0.019542,0.0157972
151,20094,0.001824,0.0209084
152,20456,0.010029,0.0
153,24112,308.997,0.0161255
154,24113,15.3611,0.0173837
155,24114,7.3323,0.0179379
156,24115,2.37679,0.022452
157,24116,1.96142,0.0177131
158,24118,1.26565,0.0141355
159,24119,1.0609,0.0194327
160,24121,1.20481,0.0155487
161,24122,0.690432,0.0352981
162,24123,0.38455,0.0275084
163,24124,0.723217,0.0276276
164,24125,0.836085,0.0135306
165,24126,0.337644,0.015342
166,24127,0.477539,0.0114009
167,24128,0.618797,0.00900591
168,24129,0.261643,0.0179217
169,24130,0.362187,0.0116451
170,24131,0.165242,0.0158579
171,24132,0.161999,0.0126
172,24134,0.053313,0.0585238
173,24135,0.120666,0.0125554
174,24137,0.048968,0.0399169
175,24138,0.023543,0.0156059
176,24143,0.043089,0.00747155
177,24147,0.041731,0.00913543
178,24149,0.01116,0.00954701
179,24162,0.022432,0.0589392
180,24166,0.086233,0.00991486
181,24167,0.026103,0.0517709
182,24168,0.040545,0.00406422
183,24170,0.033609,0.0579537
184,24176,0.02167,0.0511355
185,24187,0.185003,0.00905979
186,24213,0.110147,0.00816601
187,24222,0.09147,0.00973365
188,24224,0.088338,0.00906114
189,24273,0.053202,0.00950627
190,24277,0.053144,0.0135192
191,24283,0.053564,0.00699438
192,24305,0.047804,0.0100617
193,24308,0.053192,0.00523293
194,24310,0.043528,0.0188825
195,24338,0.04266,0.0100556
196,24362,0.029366,0.00873668
197,24365,0.035309,0.0129265
198,24385,0.03541,0.00888624
199,24401,0.033197,0.00995367
